"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\libraries\mail\SECURITY.md", "Markdown", 0, 0, 0, 0, -19, 0, -1, -20
"c:\xampp\htdocs\routeready\app\libraries\mail\composer.json", "JSON", 0, 0, 0, -79, 0, 0, -1, -80
"c:\xampp\htdocs\routeready\app\libraries\mail\get_oauth_token.php", "PHP", 0, -117, 0, 0, 0, -48, -1, -166
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-af.php", "PHP", 0, -20, 0, 0, 0, -4, -1, -25
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ar.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-as.php", "PHP", 0, -28, 0, 0, 0, -5, -1, -34
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-az.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ba.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-be.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-bg.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-bn.php", "PHP", 0, -28, 0, 0, 0, -5, -1, -34
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ca.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-cs.php", "PHP", 0, -22, 0, 0, 0, -4, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-da.php", "PHP", 0, -27, 0, 0, 0, -7, -1, -35
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-de.php", "PHP", 0, -22, 0, 0, 0, -4, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-el.php", "PHP", 0, -27, 0, 0, 0, -4, -1, -32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-eo.php", "PHP", 0, -20, 0, 0, 0, -4, -1, -25
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-es.php", "PHP", 0, -23, 0, 0, 0, -6, -1, -30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-et.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fa.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fi.php", "PHP", 0, -13, 0, 0, 0, -12, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fo.php", "PHP", 0, -13, 0, 0, 0, -12, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-fr.php", "PHP", 0, -27, 0, 0, 0, -8, -1, -36
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-gl.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-he.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hi.php", "PHP", 0, -27, 0, 0, 0, -6, -1, -34
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hr.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hu.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-hy.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-id.php", "PHP", 0, -22, 0, 0, 0, -7, -1, -30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-it.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ja.php", "PHP", 0, -20, 0, 0, 0, -7, -1, -28
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ka.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ko.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-lt.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-lv.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-mg.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-mn.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
